Is_Tutor,Country ID,1stTeachingLanguage,1stTeachingLevel,2ndTeachingLanguage,2ndTeachingLevel,3rdTeachingLanguage,3rdTeachingLevel,4thTeachingLanguage,4thTeachingLevel,5thTeachingLanguage,5thTeachingLevel,6thTeachingLanguage,6thTeachingLevel,7thTeachingLanguage,7thTeachingLevel,8thTeachingLangauge,8thTeachingLevel,1stAlsoSpeaks,1stAlsoLevel,2ndAlsoSpeaks,2ndAlsoLevel,3rdAlsoSpeaks,3rdAlsoLevel,4thAlsoSpeaks,4thAlsoLevel,5thAlsoSpeaks,5thAlsoLevel,6thAlsoSpeaks,6thAlsoLevel,7thAlsoSpeaks,7thAlsoLevel,8thAlsoSpeaks,8thAlsoLevel,9thAlsoSpeaks,9thAlsoLevel,Signed_Up,Total_Sessions,Has_Trial,Trial_Price,Min_Price,Exam_Score,Level
0,JP,japanese,7,,,,,,,,,,,,,,,english,4,,,,,,,,,,,,,,,,,2020-03-21T02:13:15+00:00,159,1,100,1600,,
0,JP,japanese,7,,,,,,,,,,,,,,,english,4,,,,,,,,,,,,,,,,,2009-10-15T02:28:24+00:00,3911,1,700,1500,,
1,CN,chinese,7,,,,,,,,,,,,,,,english,5,japanese,2,,,,,,,,,,,,,,,2020-01-22T09:14:32+00:00,66,1,400,800,,
1,RU,english,6,russian,7,,,,,,,,,,,,,chinese,1,,,,,,,,,,,,,,,,,2016-12-16T06:23:27+00:00,1397,1,300,620,,
0,JP,japanese,7,,,,,,,,,,,,,,,chinese,2,english,3,korean,2,portuguese,2,russian,2,spanish,2,vietnamese,2,,,,,2011-05-31T07:03:55+00:00,10374,1,1300,1800,,
0,IT,italian,7,,,,,,,,,,,,,,,chinese,5,chinese(cantonese),3,english,5,japanese,5,korean,5,romanian,1,russian,4,turkish,3,,,2010-08-07T02:56:00+00:00,1371,1,1500,1700,,
1,TR,turkish,7,,,,,,,,,,,,,,,english,6,spanish,1,,,,,,,,,,,,,,,2011-03-28T08:00:21+00:00,6080,1,1000,2000,,
0,DE,bulgarian,7,english,6,german,6,russian,7,,,,,,,,,austriangerman,7,french,5,,,,,,,,,,,,,,,2017-02-07T09:20:00+00:00,3435,1,600,1600,,
0,US,english,7,,,,,,,,,,,,,,,greek,1,,,,,,,,,,,,,,,,,2010-10-20T04:53:44+00:00,5631,1,1500,3000,,
1,FR,french,7,,,,,,,,,,,,,,,english,5,russian,7,,,,,,,,,,,,,,,2010-11-23T06:24:28+00:00,1884,1,800,2100,,
1,US,english,7,,,,,,,,,,,,,,,spanish,4,,,,,,,,,,,,,,,,,2010-12-30T05:57:15+00:00,4499,1,350,1300,,
1,CN,chinese,7,,,,,,,,,,,,,,,chinese(other),7,english,3,french,1,german,1,italian,1,,,,,,,,,2020-01-14T09:28:02+00:00,138,1,400,900,,
1,ID,chinese,6,chinese(hokkien),7,english,6,esperanto,6,indonesian,7,,,,,,,dutch,2,french,4,portuguese,5,spanish,5,,,,,,,,,,,2014-02-17T05:36:57+00:00,170,1,1000,2000,,
1,PL,english,6,polish,7,,,,,,,,,,,,,german,3,russian,1,spanish,3,,,,,,,,,,,,,2012-03-16T05:35:31+00:00,2134,1,800,1599,,
1,FR,french,7,spanish,7,,,,,,,,,,,,,azeri,1,english,5,finnish,1,italian,4,russian,3,turkish,4,,,,,,,2011-06-14T08:00:06+00:00,4063,1,600,1500,,
0,GB,english,7,,,,,,,,,,,,,,,french,2,german,3,,,,,,,,,,,,,,,2011-08-23T20:06:15+00:00,2853,1,800,2300,,
0,ES,spanish,7,,,,,,,,,,,,,,,english,6,italian,1,norwegian,1,,,,,,,,,,,,,2011-11-07T03:06:09+00:00,6030,1,650,1900,,
1,CA,french,7,,,,,,,,,,,,,,,english,5,,,,,,,,,,,,,,,,,2011-11-10T06:07:07+00:00,4059,1,800,1600,,
1,IT,english,6,french,6,german,6,italian,7,russian,6,spanish,6,,,,,catalan,5,dutch,4,portuguese,4,,,,,,,,,,,,,2011-11-25T05:55:12+00:00,1239,1,2000,3500,,
0,GB,english,7,,,,,,,,,,,,,,,korean,3,spanish,3,welsh,2,,,,,,,,,,,,,2020-04-30T11:39:18+00:00,58,1,200,1600,,
1,CA,english,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-12-06T05:59:37+00:00,3162,0,1000,800,,
1,RU,chinese,6,english,6,russian,7,,,,,,,,,,,arabic,1,spanish,2,,,,,,,,,,,,,,,2019-03-13T09:34:05+00:00,1070,1,600,1400,,
0,US,english,7,,,,,,,,,,,,,,,chinese,3,spanish,4,thai,3,,,,,,,,,,,,,2012-01-05T07:54:38+00:00,587,1,500,1500,,
1,US,english,7,,,,,,,,,,,,,,,korean,1,spanish,1,,,,,,,,,,,,,,,2012-01-27T01:58:09+00:00,2524,1,600,1200,,
1,RU,russian,7,,,,,,,,,,,,,,,chinese,2,english,6,,,,,,,,,,,,,,,2016-08-16T08:35:20+00:00,3361,1,300,700,,
1,US,english,7,portuguese,6,spanish,6,,,,,,,,,,,chinese,1,french,2,,,,,,,,,,,,,,,2018-07-16T09:35:14+00:00,832,1,1000,1500,,
1,IN,tamil,7,,,,,,,,,,,,,,,english,3,french,1,german,1,,,,,,,,,,,,,2012-08-23T18:18:51+00:00,250,1,400,1000,,
0,DE,german,6,polish,7,,,,,,,,,,,,,english,4,italian,4,spanish,1,,,,,,,,,,,,,2014-03-03T04:03:32+00:00,868,1,900,1300,,
0,DE,german,6,,,,,,,,,,,,,,,english,6,french,4,hebrew,3,italian,4,other,1,polish,5,portuguese,5,russian,7,spanish,5,2017-07-10T06:57:48+00:00,635,1,1500,4500,,
1,US,english,7,,,,,,,,,,,,,,,chinese,1,italian,6,,,,,,,,,,,,,,,2020-05-05T11:33:53+00:00,111,1,100,1200,,
0,ES,english,6,spanish,7,,,,,,,,,,,,,arabic(maghrebi),1,chinese,1,french,4,italian,2,portuguese,2,swedish,1,turkish,1,,,,,2012-05-17T03:27:19+00:00,2153,1,1000,1600,,
0,IT,italian,7,,,,,,,,,,,,,,,english,4,japanese,3,,,,,,,,,,,,,,,2020-04-16T11:48:15+00:00,171,1,100,1000,,
0,RU,english,6,russian,7,,,,,,,,,,,,,french,2,german,2,polish,2,,,,,,,,,,,,,2020-01-09T07:24:10+00:00,176,1,350,850,,
0,KR,korean,7,,,,,,,,,,,,,,,english,5,vietnamese,1,,,,,,,,,,,,,,,2012-07-06T06:13:15+00:00,4140,1,900,2000,,
1,PH,english,6,,,,,,,,,,,,,,,chinese,1,filipino(tagalog),6,japanese,2,korean,2,,,,,,,,,,,2012-07-28T01:10:40+00:00,835,1,600,1300,,
1,ES,spanish,7,,,,,,,,,,,,,,,catalan,6,english,4,italian,2,russian,3,uzbek,1,,,,,,,,,2012-09-10T06:27:09+00:00,2997,1,500,2100,,
1,JP,japanese,7,,,,,,,,,,,,,,,catalan,1,english,2,french,1,spanish,3,,,,,,,,,,,2018-10-16T09:23:15+00:00,930,1,300,1100,,
1,CA,english,7,,,,,,,,,,,,,,,chinese,1,spanish,4,,,,,,,,,,,,,,,2015-02-06T03:12:40+00:00,2728,1,500,1100,,
0,GB,english,7,,,,,,,,,,,,,,,portuguese,4,welsh,1,,,,,,,,,,,,,,,2016-09-28T10:06:17+00:00,1631,1,800,1700,,
1,US,english,7,,,,,,,,,,,,,,,chinese,2,,,,,,,,,,,,,,,,,2013-01-05T03:46:21+00:00,1805,1,1000,1650,,
1,BR,portuguese,7,,,,,,,,,,,,,,,arabic,1,english,5,french,2,german,3,italian,3,russian,3,slovak,2,spanish,5,,,2013-02-15T22:09:14+00:00,7970,1,1000,2200,,
1,RU,russian,7,,,,,,,,,,,,,,,chinese,1,english,4,french,2,german,1,italian,1,latin,3,spanish,2,,,,,2015-01-19T08:56:13+00:00,1026,1,300,650,,
1,CO,english,6,spanish,7,,,,,,,,,,,,,japanese,2,portuguese,3,,,,,,,,,,,,,,,2015-07-05T10:21:55+00:00,2921,1,999,1590,,
1,US,english,7,russian,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-12T09:26:43+00:00,12072,1,500,2000,,
1,DE,english,6,german,7,,,,,,,,,,,,,greek,2,,,,,,,,,,,,,,,,,2013-02-18T08:31:34+00:00,5275,1,1200,1400,,
1,GB,welsh,7,,,,,,,,,,,,,,,basque,2,breton,1,english,7,french,5,polish,3,,,,,,,,,2018-11-22T12:18:15+00:00,95,1,500,2000,,
1,US,english,7,,,,,,,,,,,,,,,french,1,japanese,4,,,,,,,,,,,,,,,2020-02-10T04:21:31+00:00,65,1,200,1600,,
1,RU,russian,7,,,,,,,,,,,,,,,english,5,spanish,2,,,,,,,,,,,,,,,2013-06-06T17:19:06+00:00,4506,1,1000,1700,,
1,IR,english,6,kurdish,7,persian(farsi),7,,,,,,,,,,,arabic,2,azeri,3,chinese,1,german,1,japanese,1,turkish,2,,,,,,,2018-03-21T12:27:52+00:00,365,1,400,499,,
0,ES,spanish,7,,,,,,,,,,,,,,,catalan,2,english,6,french,4,german,6,italian,4,portuguese,4,,,,,,,2017-08-25T07:47:42+00:00,561,0,800,1800,,
1,BO,spanish,7,,,,,,,,,,,,,,,afrikaans,1,catalan,2,english,6,french,4,japanese,2,,,,,,,,,2020-04-13T03:27:28+00:00,174,1,200,750,,
1,RU,russian,7,spanish,6,,,,,,,,,,,,,english,5,french,2,italian,4,,,,,,,,,,,,,2013-04-23T04:02:41+00:00,723,1,800,900,,
1,HK,chinese,6,chinese(cantonese),7,english,7,,,,,,,,,,,arabic(modernstandard),1,hebrew,2,,,,,,,,,,,,,,,2019-08-11T13:30:10+00:00,53,1,500,900,,
1,ZA,english,7,,,,,,,,,,,,,,,afrikaans,5,xhosa,1,,,,,,,,,,,,,,,2013-04-02T09:06:38+00:00,8384,1,600,1500,,
1,CN,chinese,7,,,,,,,,,,,,,,,arabic,1,chinese(cantonese),4,chinese(other),7,english,4,japanese,1,korean,3,persian(farsi),1,spanish,2,,,2016-08-30T07:54:35+00:00,1140,1,800,1200,,
1,GB,english,7,,,,,,,,,,,,,,,chinese,1,italian,4,portuguese,2,,,,,,,,,,,,,2017-06-27T16:16:49+00:00,4662,1,600,1000,,
1,KZ,russian,7,,,,,,,,,,,,,,,english,3,spanish,1,,,,,,,,,,,,,,,2017-05-10T22:33:17+00:00,3208,1,300,800,,
1,GB,english,7,,,,,,,,,,,,,,,french,4,german,4,italian,3,russian,2,spanish,5,,,,,,,,,2018-12-07T12:26:36+00:00,617,0,600,2000,,
1,DE,german,7,hebrew,6,,,,,,,,,,,,,english,6,french,5,greek,1,portuguese,5,slovenian,1,spanish,4,,,,,,,2013-11-26T02:41:00+00:00,2381,1,1900,4900,,
1,EC,english,6,spanish,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-01-02T14:43:17+00:00,765,1,800,1200,,
1,TR,english,6,turkish,7,,,,,,,,,,,,,french,5,german,2,spanish,1,,,,,,,,,,,,,2020-04-02T02:17:06+00:00,95,1,100,900,,
1,TN,arabic,7,,,,,,,,,,,,,,,arabic(maghrebi),6,arabic(modernstandard),6,english,6,french,6,german,4,italian,2,spanish,4,turkish,2,,,2015-02-13T03:46:25+00:00,3824,1,600,1200,,
1,BE,english,6,french,7,,,,,,,,,,,,,flemish,3,german,5,italian,3,latin,3,polish,2,slovak,2,spanish,5,,,,,2013-06-22T19:43:27+00:00,641,1,850,1699,,
1,GB,english,7,,,,,,,,,,,,,,,french,2,russian,3,spanish,5,,,,,,,,,,,,,2015-06-19T11:39:55+00:00,3801,1,1200,3000,,
1,AU,english,7,,,,,,,,,,,,,,,thai,3,,,,,,,,,,,,,,,,,2013-07-30T02:31:40+00:00,6414,1,1200,2200,,
1,SV,english,6,spanish,7,,,,,,,,,,,,,french,2,german,1,japanese,2,korean,1,,,,,,,,,,,2013-12-05T06:44:36+00:00,559,1,700,2000,,
1,GB,english,7,,,,,,,,,,,,,,,french,5,portuguese,2,russian,2,,,,,,,,,,,,,2016-03-31T10:16:33+00:00,1445,1,1400,1700,,
1,CN,chinese,7,,,,,,,,,,,,,,,chinese(other),7,english,5,,,,,,,,,,,,,,,2013-08-06T05:39:34+00:00,12293,1,990,1990,,
1,PH,filipino(tagalog),7,,,,,,,,,,,,,,,english,7,indonesian,3,spanish,5,,,,,,,,,,,,,2015-07-22T07:37:37+00:00,1327,1,400,850,,
1,AU,english,7,,,,,,,,,,,,,,,icelandic,1,indonesian,1,japanese,4,thai,1,vietnamese,1,,,,,,,,,2015-01-16T09:09:24+00:00,8365,1,700,1200,,
0,RU,russian,7,,,,,,,,,,,,,,,english,5,french,4,italian,1,portuguese,1,,,,,,,,,,,2013-08-19T10:08:52+00:00,1962,1,100,1500,,
1,ES,spanish,7,,,,,,,,,,,,,,,catalan,5,english,5,,,,,,,,,,,,,,,2013-09-02T10:35:36+00:00,2370,1,900,1700,,
1,RU,english,6,russian,7,,,,,,,,,,,,,french,3,,,,,,,,,,,,,,,,,2015-03-26T04:38:05+00:00,2606,1,1000,1450,,
1,CN,chinese,7,,,,,,,,,,,,,,,english,6,,,,,,,,,,,,,,,,,2013-10-15T09:25:05+00:00,5108,1,990,1800,,
1,US,english,7,spanish,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-09-12T10:37:00+00:00,1417,1,900,1800,,
1,UA,english,6,russian,7,spanish,6,ukrainian,7,,,,,,,,,flemish,4,french,2,italian,3,,,,,,,,,,,,,2013-10-21T03:55:57+00:00,2016,1,1170,1990,,
1,CN,chinese,7,,,,,,,,,,,,,,,english,5,,,,,,,,,,,,,,,,,2013-10-14T03:29:16+00:00,5043,1,500,1200,,
1,US,english,7,italian,6,,,,,,,,,,,,,czech,4,dutch,2,french,4,german,4,japanese,2,russian,3,spanish,2,,,,,2014-01-06T05:52:12+00:00,699,1,2000,1700,,
0,US,english,7,,,,,,,,,,,,,,,french,3,russian,6,spanish,3,,,,,,,,,,,,,2013-10-09T09:56:20+00:00,511,1,600,1200,,
1,NG,english,7,,,,,,,,,,,,,,,russian,3,,,,,,,,,,,,,,,,,2018-07-16T09:35:42+00:00,965,1,300,700,,
1,PT,portuguese,7,,,,,,,,,,,,,,,english,3,french,1,german,2,spanish,3,,,,,,,,,,,2014-08-21T08:08:16+00:00,5917,1,350,1050,,
1,GB,english,7,,,,,,,,,,,,,,,greek,3,,,,,,,,,,,,,,,,,2013-10-15T10:07:52+00:00,2414,1,800,1900,,
1,BE,french,7,spanish,7,,,,,,,,,,,,,english,5,italian,2,,,,,,,,,,,,,,,2017-11-24T03:28:28+00:00,1724,1,1000,2000,,
1,DE,german,7,,,,,,,,,,,,,,,chinese,4,english,6,,,,,,,,,,,,,,,2014-01-06T08:20:02+00:00,3065,1,1790,3490,,
1,EG,arabic,7,arabic(egyptian),7,arabic(modernstandard),7,,,,,,,,,,,arabic(gulf),6,arabic(levantine),6,catalan,5,english,5,french,5,german,5,,,,,,,2014-11-03T08:25:44+00:00,507,1,800,900,,
1,MX,spanish,7,,,,,,,,,,,,,,,english,4,japanese,2,,,,,,,,,,,,,,,2013-11-14T04:05:36+00:00,2431,1,650,850,,
1,IT,italian,7,,,,,,,,,,,,,,,english,4,finnish,1,french,2,russian,2,spanish,4,swedish,1,,,,,,,2020-03-24T03:19:44+00:00,183,1,100,650,,
1,IT,italian,7,,,,,,,,,,,,,,,chinese,5,english,5,filipino(tagalog),6,german,1,,,,,,,,,,,2014-11-18T06:23:15+00:00,2914,1,1250,1500,,
1,US,english,7,french,6,spanish,7,,,,,,,,,,,catalan,4,chinese,2,chinese(cantonese),2,german,5,hebrew,3,italian,6,portuguese,4,,,,,2013-12-17T04:17:58+00:00,6409,0,1800,4400,,
1,ID,english,6,indonesian,7,,,,,,,,,,,,,french,2,japanese,1,spanish,1,,,,,,,,,,,,,2020-01-02T11:12:20+00:00,384,1,350,900,,
0,JP,japanese,7,,,,,,,,,,,,,,,english,3,spanish,5,,,,,,,,,,,,,,,2015-10-17T02:12:43+00:00,2379,0,1000,1900,,
1,US,english,7,,,,,,,,,,,,,,,french,6,italian,3,portuguese,7,spanish,3,,,,,,,,,,,2018-08-30T12:54:19+00:00,1534,1,1600,1800,,
1,US,english,7,,,,,,,,,,,,,,,armenian,2,russian,1,spanish,2,,,,,,,,,,,,,2014-01-26T05:01:21+00:00,16975,1,1000,1450,,
0,ES,spanish,7,,,,,,,,,,,,,,,chinese,2,english,6,french,3,german,3,other,1,,,,,,,,,2014-02-05T08:38:17+00:00,2791,1,400,2500,,
1,FR,french,7,,,,,,,,,,,,,,,chinese,4,english,5,italian,5,korean,2,latin,3,spanish,2,,,,,,,2014-07-28T04:04:54+00:00,4294,1,100,800,,
1,EG,arabic,7,arabic(egyptian),7,,,,,,,,,,,,,arabic(modernstandard),7,english,5,french,4,swahili,2,,,,,,,,,,,2019-10-18T07:04:51+00:00,275,1,300,700,,
0,IT,italian,7,,,,,,,,,,,,,,,english,4,greek,1,hindi,2,latin,4,portuguese,1,russian,5,sanskrit,1,,,,,2016-02-22T10:09:46+00:00,580,1,500,1600,,
1,CN,chinese,7,,,,,,,,,,,,,,,english,5,french,1,,,,,,,,,,,,,,,2014-04-25T04:16:25+00:00,1506,1,800,1600,,
0,RU,english,6,russian,7,,,,,,,,,,,,,french,1,spanish,1,thai,1,,,,,,,,,,,,,2014-02-20T04:35:04+00:00,288,1,700,1300,,
0,IT,english,6,italian,7,japanese,6,spanish,6,,,,,,,,,french,6,german,3,korean,1,,,,,,,,,,,,,2015-01-05T06:13:21+00:00,493,0,900,1500,96,C1
1,GB,english,7,,,,,,,,,,,,,,,german,1,italian,1,scots,7,spanish,4,,,,,,,,,,,2019-05-10T09:49:52+00:00,597,1,700,1000,,
0,RO,english,6,french,6,romanian,7,,,,,,,,,,,chinese,2,estonian,1,german,3,portuguese,4,russian,3,spanish,5,,,,,,,2014-03-17T05:57:30+00:00,9521,1,1699,2199,,
1,GB,english,7,,,,,,,,,,,,,,,arabic,1,french,5,italian,1,spanish,5,,,,,,,,,,,2019-07-26T12:34:06+00:00,40,1,700,1000,,
1,IQ,arabic(gulf),7,arabic(modernstandard),7,english,6,,,,,,,,,,,italian,3,portuguese,2,russian,1,spanish,5,turkish,1,,,,,,,,,2016-03-28T11:03:32+00:00,424,1,300,1500,,
1,CH,french,7,,,,,,,,,,,,,,,chinese,1,english,5,german,1,japanese,3,,,,,,,,,,,2020-05-06T11:27:13+00:00,101,1,200,1000,,
1,AU,english,7,,,,,,,,,,,,,,,portuguese,4,spanish,2,,,,,,,,,,,,,,,2017-06-14T07:02:16+00:00,2221,1,900,1600,,
1,DE,english,6,german,7,russian,6,,,,,,,,,,,japanese,4,,,,,,,,,,,,,,,,,2018-06-07T13:33:02+00:00,1880,1,500,1800,,
0,GB,english,7,,,,,,,,,,,,,,,italian,5,russian,5,,,,,,,,,,,,,,,2019-05-13T14:44:01+00:00,704,1,990,1400,,
1,US,english,7,,,,,,,,,,,,,,,italian,4,,,,,,,,,,,,,,,,,2014-05-14T08:02:00+00:00,3368,1,800,2200,,
0,US,english,7,,,,,,,,,,,,,,,german,3,portuguese,3,spanish,6,,,,,,,,,,,,,2014-04-30T09:50:18+00:00,2013,1,500,1500,,
1,US,english,7,,,,,,,,,,,,,,,chinese,4,japanese,2,russian,1,,,,,,,,,,,,,2016-05-30T08:07:05+00:00,1445,1,400,1000,,
1,IT,italian,7,portuguese,6,spanish,6,,,,,,,,,,,arabic,2,english,5,galician,5,german,5,persian(farsi),1,swahili,1,,,,,,,2014-05-22T03:28:20+00:00,5488,1,500,900,,
0,GR,english,6,greek,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-12-10T04:26:30+00:00,1592,1,1500,2800,,
1,FR,french,7,,,,,,,,,,,,,,,arabic,1,chinese,1,english,5,japanese,1,portuguese,1,thai,5,,,,,,,2014-06-05T06:32:15+00:00,1450,1,1250,1500,,
1,GE,georgian,7,,,,,,,,,,,,,,,english,5,french,3,polish,1,russian,4,,,,,,,,,,,2016-06-13T09:33:47+00:00,908,1,500,1100,,
1,FR,french,7,,,,,,,,,,,,,,,catalan,2,english,5,japanese,1,spanish,5,,,,,,,,,,,2014-06-06T03:21:51+00:00,1479,1,1500,2900,,
1,CN,chinese,7,,,,,,,,,,,,,,,english,5,,,,,,,,,,,,,,,,,2014-07-28T04:23:02+00:00,1341,1,499,1150,,
1,ES,spanish,7,,,,,,,,,,,,,,,english,5,,,,,,,,,,,,,,,,,2016-11-07T03:18:12+00:00,351,1,400,900,,
1,RU,english,6,german,6,russian,7,,,,,,,,,,,french,2,greek,1,greek(ancient),3,japanese,1,,,,,,,,,,,2016-08-10T10:11:25+00:00,898,1,900,2300,,
1,ES,catalan,7,english,6,spanish,7,,,,,,,,,,,french,3,german,2,polish,1,,,,,,,,,,,,,2018-06-08T16:05:56+00:00,425,1,700,1300,,
1,KR,english,6,korean,7,,,,,,,,,,,,,spanish,3,,,,,,,,,,,,,,,,,2017-11-29T09:29:43+00:00,1430,1,900,1690,,
1,CN,chinese,7,,,,,,,,,,,,,,,chinese(other),6,english,4,,,,,,,,,,,,,,,2015-02-26T03:06:26+00:00,685,1,800,1400,,
1,BY,english,6,russian,7,,,,,,,,,,,,,belarusian,5,,,,,,,,,,,,,,,,,2016-04-05T08:39:51+00:00,675,1,1000,2000,,
1,AU,english,7,,,,,,,,,,,,,,,italian,4,,,,,,,,,,,,,,,,,2020-03-31T02:54:38+00:00,97,1,500,2500,,
1,FR,french,7,,,,,,,,,,,,,,,arabic,7,english,5,,,,,,,,,,,,,,,2018-10-23T09:22:17+00:00,108,1,550,1200,,
0,GB,english,7,,,,,,,,,,,,,,,french,3,german,2,italian,4,polish,1,spanish,3,,,,,,,,,2014-07-12T13:06:33+00:00,5257,1,900,3500,120,C2+
0,UA,english,6,,,,,,,,,,,,,,,russian,7,spanish,3,ukrainian,7,,,,,,,,,,,,,2020-01-22T11:06:54+00:00,212,1,500,1300,,
1,CA,english,7,,,,,,,,,,,,,,,french,3,,,,,,,,,,,,,,,,,2017-12-05T08:10:05+00:00,806,1,1500,2700,,
1,GB,english,7,,,,,,,,,,,,,,,spanish,0,,,,,,,,,,,,,,,,,2014-08-15T07:04:21+00:00,2783,1,1500,2600,,
1,BY,english,6,,,,,,,,,,,,,,,belarusian,4,german,2,russian,7,ukrainian,3,,,,,,,,,,,2014-08-15T03:32:34+00:00,1676,1,500,1100,,
1,FR,french,7,,,,,,,,,,,,,,,english,4,spanish,3,,,,,,,,,,,,,,,2014-08-19T04:24:48+00:00,3567,1,750,1850,,
0,IT,italian,7,,,,,,,,,,,,,,,dutch,1,english,5,french,4,german,3,japanese,1,portuguese,3,,,,,,,2019-10-11T10:15:07+00:00,134,1,100,1400,,
0,ID,indonesian,7,,,,,,,,,,,,,,,english,3,javanese,7,,,,,,,,,,,,,,,2020-04-16T08:04:57+00:00,54,1,400,800,,
1,DE,german,7,,,,,,,,,,,,,,,english,6,french,2,,,,,,,,,,,,,,,2014-11-04T06:07:58+00:00,1009,1,500,1300,,
1,GB,english,7,,,,,,,,,,,,,,,finnish,3,german,5,spanish,2,swedish,3,,,,,,,,,,,2020-04-15T04:00:49+00:00,11,1,650,1000,,
1,GR,english,6,french,6,greek,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-09-25T13:44:08+00:00,1313,1,300,1200,,
1,AR,spanish,7,,,,,,,,,,,,,,,english,4,greek(ancient),5,latin,5,,,,,,,,,,,,,2020-01-06T02:53:49+00:00,381,1,700,900,,
0,JP,japanese,7,,,,,,,,,,,,,,,arabic(modernstandard),1,czech,2,english,3,,,,,,,,,,,,,2014-11-03T08:33:13+00:00,3995,1,500,2000,,
0,GB,english,7,,,,,,,,,,,,,,,french,4,thai,5,,,,,,,,,,,,,,,2016-08-29T09:29:08+00:00,932,1,1000,2200,,
0,NL,dutch,7,,,,,,,,,,,,,,,english,6,german,2,thai,2,,,,,,,,,,,,,2014-10-23T09:51:42+00:00,3872,1,1500,2000,,
0,US,english,7,,,,,,,,,,,,,,,spanish,1,,,,,,,,,,,,,,,,,2020-06-12T10:55:41+00:00,0,0,100,2000,,
1,RU,russian,7,,,,,,,,,,,,,,,english,5,ukrainian,6,,,,,,,,,,,,,,,2014-11-03T03:46:37+00:00,5023,1,600,1300,,
1,GB,english,7,,,,,,,,,,,,,,,dutch,1,indonesian,1,spanish,4,,,,,,,,,,,,,2014-11-03T04:15:44+00:00,2944,0,500,1050,,
0,ES,spanish,7,,,,,,,,,,,,,,,english,6,,,,,,,,,,,,,,,,,2019-08-07T12:59:55+00:00,392,1,300,1100,,
1,CN,chinese,7,chinese(cantonese),7,,,,,,,,,,,,,english,4,spanish,2,,,,,,,,,,,,,,,2016-02-23T06:58:14+00:00,1357,1,1000,1200,,
0,US,english,7,,,,,,,,,,,,,,,other,1,spanish,1,,,,,,,,,,,,,,,2014-11-11T06:32:58+00:00,2196,1,800,800,,
1,IT,english,6,italian,7,,,,,,,,,,,,,french,3,greek,2,,,,,,,,,,,,,,,2020-04-22T07:48:44+00:00,17,1,400,900,,
1,ES,spanish,7,,,,,,,,,,,,,,,english,2,french,3,portuguese,5,,,,,,,,,,,,,2016-09-21T09:31:11+00:00,3842,1,400,900,,
